POSTCODE,POSTAL_COMMERCIAL_PROPERTIES,ALL_COMMERCIAL,RESIDENTIAL_PROPERTIES
NE65 9TS,0,0,9
NE63 9DU,0,0,52
NE47 0BQ,2,2,28
NE63 8DX,0,0,20
NE63 8XU,0,0,29
NE63 8DJ,0,0,20
NE66 5PS,2,3,3
NE22 7DX,0,0,46
NE64 6NJ,11,11,6
NE62 5YZ,0,0,31
TD15 1DH,9,10,36
NE22 6BD,0,1,5
NE63 0QU,1,1,33
NE64 6JN,0,0,26
NE61 3JG,0,0,3
NE61 1YS,0,0,3
NE64 6HB,0,0,23
NE63 8TH,0,0,18
NE63 9LY,0,0,26
NE66 2LS,1,1,3
NE62 5ES,0,0,33
TD15 2PS,0,0,23
TD15 2BQ,1,1,6
NE63 9SX,0,0,18
NE22 5BF,1,1,9
NE63 9BP,1,1,50
NE22 5QW,0,0,22
NE62 5ND,0,0,2
NE63 0HU,0,0,9
NE64 6AA,10,10,17
NE61 6LH,0,1,28
NE62 5RB,0,0,20
NE63 8PP,0,0,3
NE23 3JU,1,2,0
NE24 2EZ,0,0,37
NE15 0NX,0,0,8
NE63 9DJ,0,0,14
NE22 6DY,0,0,51
NE61 6RJ,0,0,44
NE62 5AS,0,0,14
NE64 6EE,0,0,3
NE22 7BR,3,5,27
NE63 8HP,0,0,8
NE63 9AU,2,2,23
NE63 8SZ,0,0,13
NE66 1JW,4,4,45
NE62 5SE,4,4,15
NE46 3QY,0,0,7
NE63 9RD,0,0,33
NE22 7AX,0,0,3
NE22 6PD,0,0,16
NE22 6JS,1,1,4
NE22 6EH,0,0,36
NE63 9RR,0,0,6
NE63 9TZ,0,0,41
NE22 5ER,0,0,28
NE22 5RU,0,0,2
NE65 8EH,1,1,2
NE62 5YS,0,0,12
NE63 9BW,0,0,50
NE64 6BP,0,0,28
NE25 0JN,1,2,23
NE64 6AP,0,0,1
NE22 7BY,2,2,2
NE47 7HY,0,1,5
NE45 5JN,0,0,63
NE48 1PP,1,2,4
NE48 2ET,2,3,17
TD15 1HX,1,1,28
NE45 5DE,2,3,27
NE46 1HA,1,1,40
NE23 3LT,0,0,14
NE67 5EY,12,12,3
NE22 5DF,0,0,40
NE63 8TP,1,1,2
NE22 5JE,0,0,10
NE22 5GZ,0,0,12
TD15 2BP,3,3,24
NE65 9AF,0,0,2
NE65 7UP,2,2,3
NE63 9BL,1,1,18
NE22 5DZ,0,0,38
NE63 9QX,0,0,17
NE24 4LY,0,0,53
NE61 6YE,0,0,18
NE24 3JB,1,1,1
NE63 0AQ,1,1,20
NE65 7AU,0,0,1
NE69 7AZ,2,2,3
NE65 7AJ,2,2,16
NE63 0EJ,0,0,6
NE63 9SR,0,0,38
NE46 4PH,0,0,9
NE49 0HN,3,3,0
NE46 1XQ,8,8,7
NE42 6DA,14,14,0
NE43 7EH,0,0,47
NE63 9QQ,0,0,24
NE48 2BZ,1,1,2
NE61 3SE,1,1,13
NE61 3QB,0,0,4
NE64 6LF,0,0,6
NE63 8TY,0,0,18
NE24 2EW,6,6,9
NE15 0QD,2,4,15
NE22 7JE,6,6,14
NE48 2JT,3,3,13
NE63 9TQ,0,0,28
NE41 8AJ,1,1,0
NE65 7XH,0,0,3
NE47 0AW,1,3,3
NE61 4RA,1,1,2
NE46 4DQ,37,41,0
NE63 9NU,0,0,4
NE23 3FP,0,0,37
NE61 6XH,0,0,71
NE62 5TA,0,0,17
NE61 6SP,1,1,1
NE65 7DU,0,0,10
NE61 5BS,0,0,18
NE22 5BE,0,0,18
NE62 5YY,0,0,15
NE46 4SD,2,2,30
NE63 9BJ,0,0,34
NE47 9NU,0,0,5
NE64 6DT,0,0,4
NE47 6DZ,0,0,2
NE47 7DD,0,0,2
NE47 8LR,0,0,16
NE48 3PP,2,2,6
NE48 3BU,1,2,1
NE62 5AX,0,0,23
NE64 6RR,2,2,2
NE63 0XQ,1,1,26
NE63 9TR,10,10,18
NE22 6HW,0,0,42
NE24 3TU,0,0,17
NE65 8EA,0,0,5
NE62 5BD,0,0,15
NE68 7RD,1,1,1
NE49 0PB,0,0,1
NE22 7EN,0,0,13
NE22 5TE,0,0,10
NE44 6ED,0,0,7
NE44 6HG,1,1,3
NE45 5RS,0,0,2
NE63 9SS,0,0,41
NE61 2JA,0,0,24
NE63 9RA,0,0,8
NE67 5DF,0,0,7
NE67 5DY,3,3,2
NE69 7AR,2,2,14
NE45 5AR,0,0,15
NE24 1SJ,0,0,6
NE48 4DN,0,1,0
NE48 1QZ,1,1,2
NE63 0BT,0,0,50
NE24 4HD,0,0,10
NE69 7AY,0,0,15
NE22 5AS,0,0,17
NE45 5PD,1,1,2
NE70 7EP,6,6,11
NE61 5TW,1,1,17
NE22 7BB,0,0,7
NE20 0DN,1,1,7
NE23 6US,4,4,0
NE63 0DQ,1,1,24
NE46 3EE,0,0,14
NE63 0DE,0,0,8
NE47 6LY,0,0,20
NE46 3QZ,1,1,1
NE24 2AQ,1,1,0
NE47 5AB,0,0,27
NE65 0UA,2,2,1
NE63 0HR,0,0,42
NE61 1UA,1,1,8
NE61 1QE,0,0,52
NE61 2LJ,0,0,23
NE22 6HY,0,0,9
NE61 3DD,0,0,2
NE64 6UR,1,1,24
NE23 1BA,4,4,0
NE63 0TH,1,1,21
NE45 5RP,1,1,22
NE61 3ST,0,0,17
NE66 1TL,4,4,2
NE62 5ST,3,4,18
NE63 8DE,0,0,18
NE42 5FD,0,0,22
NE42 6AG,1,1,14
TD15 1RE,7,9,12
NE63 8DW,0,0,40
NE65 7SP,6,6,2
NE42 6BS,1,1,8
TD12 4SW,0,2,12
NE63 9GX,0,0,25
NE25 0HG,0,0,28
NE61 3SU,0,0,16
NE61 2YF,0,0,13
NE66 3UU,3,3,5
NE22 6LG,0,0,19
NE22 6HX,1,1,7
NE47 6HH,0,0,1
NE22 5BB,0,0,29
NE15 0BJ,1,1,23
NE63 8AS,0,0,13
NE61 2HQ,0,0,39
NE63 0EB,0,0,27
NE22 7LD,0,0,28
NE23 1AT,0,0,32
NE24 3RU,0,0,30
NE65 0SA,1,1,18
NE63 0LF,1,1,25
NE22 7JX,0,0,27
NE63 8PF,0,0,27
NE62 5SF,0,0,15
NE65 8RT,0,0,3
NE23 1DR,0,0,22
NE20 9PY,15,17,9
NE22 5DN,6,8,1
NE22 5UT,0,0,20
NE24 2BX,1,1,0
NE67 5DZ,3,3,0
NE64 6NT,0,0,3
NE24 3JX,0,0,44
NE22 7JH,1,1,39
NE63 8LW,0,0,12
CA8 7HR,0,0,2
CA8 7HX,0,0,2
DH8 9JF,0,0,2
NE25 0AW,1,1,19
NE19 1AB,0,0,6
NE24 3XN,0,0,15
NE25 0BS,0,0,32
NE24 1HA,0,0,16
NE23 3AQ,0,0,24
NE23 8JB,0,0,25
NE23 8JQ,0,0,23
NE22 7AQ,0,0,30
NE15 0JB,0,0,6
NE65 7LU,1,1,1
NE24 4DD,0,0,15
NE63 0HD,6,6,3
NE63 9QU,0,0,12
NE63 9QH,0,0,20
NE23 6RP,0,0,65
NE43 7RF,0,0,11
NE43 7SW,2,2,48
NE43 7XB,0,0,2
NE66 2PS,2,2,12
NE47 0LF,0,0,6
NE63 0YG,31,31,0
NE46 3HN,11,11,1
NE66 2BT,2,2,5
TD12 4RP,0,0,9
NE65 9XG,1,1,0
TD12 4UJ,0,0,5
TD12 4XA,0,0,4
TD15 1RX,0,0,19
NE47 9PZ,0,0,16
NE61 2AG,0,0,17
NE62 5HQ,1,1,0
NE47 7AW,2,2,0
NE65 9HU,3,3,14
NE66 2YH,0,0,24
NE24 5RB,0,0,22
NE25 0PT,4,4,4
NE63 9QG,0,0,24
NE23 6DY,1,1,17
NE22 5RD,0,0,11
NE46 2JP,2,3,1
NE46 3RU,8,8,0
NE61 2HT,0,0,18
NE22 7BL,0,0,29
NE41 8AF,0,0,7
NE24 1LZ,3,3,0
NE49 0HX,2,3,11
NE44 6EE,0,0,3
NE61 1XF,0,0,15
NE66 2PR,0,1,7
NE67 5LF,0,1,6
NE64 6DW,1,1,1
NE66 1LY,0,0,12
NE49 0JH,0,0,4
NE43 7AA,0,0,1
NE23 1AE,0,0,38
NE46 4HG,0,0,3
NE47 9AD,0,0,3
NE66 3UW,3,3,6
NE61 3RB,0,0,40
NE63 0JS,0,0,3
TD15 1UB,0,0,9
NE71 6TN,4,4,5
NE24 5AA,0,0,15
NE63 9PD,2,2,3
NE70 7NX,2,2,46
NE63 0TX,0,0,12
NE23 1DY,0,0,33
NE26 4JY,0,0,30
NE66 3ES,3,3,13
NE66 2YQ,0,0,4
NE62 5QR,0,0,2
NE24 2ES,0,0,8
NE23 1BN,0,0,6
NE63 8RY,0,0,11
NE24 4HL,0,1,3
NE24 4PF,0,0,25
NE67 5HS,2,2,0
NE61 6UD,2,3,2
NE66 3EZ,3,3,7
NE66 3LL,4,4,8
NE22 7BJ,0,0,10
NE24 4RS,11,11,0
NE71 6QE,4,4,1
NE23 6XG,0,1,6
NE61 5AU,4,4,7
NE61 6BH,0,1,12
NE61 3RU,0,0,17
NE61 6LG,3,4,5
NE63 9BE,1,1,0
NE47 9JH,0,0,1
NE62 5RW,2,2,7
NE22 5EF,0,0,6
NE65 8QN,0,0,4
NE66 2NZ,2,2,5
NE70 7LS,0,1,8
NE46 2LA,0,0,8
NE47 0HA,1,1,8
NE47 0HL,0,0,17
NE24 3EQ,0,0,15
NE46 2LQ,0,0,3
NE23 3BD,0,0,25
NE25 0QN,0,0,22
NE23 7SW,0,0,21
NE23 6BA,0,0,32
NE22 5LT,0,0,7
NE61 1QF,9,9,11
NE42 6HX,0,0,20
NE49 0JE,0,0,11
NE70 7QF,4,4,18
NE24 3XJ,0,0,17
NE23 2GB,0,0,38
NE47 7AB,0,0,3
NE43 7AJ,1,1,7
NE61 1HY,0,0,4
NE64 6SU,0,0,6
NE46 1XP,1,1,0
NE46 3LS,3,3,0
NE20 9DL,0,0,14
NE61 5PN,0,0,2
NE23 7RZ,17,17,0
NE61 3ND,1,1,4
NE24 2EF,0,0,17
NE24 3RX,0,0,11
NE47 7BL,0,0,3
NE23 1HJ,0,0,42
NE62 5SS,0,0,5
NE65 0LR,1,1,13
NE46 2LB,1,1,5
NE24 2JL,10,11,2
NE24 4QX,0,0,49
NE66 3LH,1,1,3
NE66 1TD,14,14,9
NE65 7BQ,4,6,19
NE20 0SX,0,0,4
NE48 2AR,1,1,2
NE24 5LP,0,0,33
NE24 4PX,0,0,8
NE24 1DL,0,0,43
NE65 7XR,1,1,2
NE46 4PQ,0,0,1
NE23 6UF,0,0,15
NE24 3XB,0,0,31
NE23 7EX,0,0,30
NE46 4RB,0,0,3
NE65 0SB,1,1,12
NE24 5DR,0,0,13
NE65 7AL,0,0,4
NE65 7AP,1,1,2
NE65 7DA,3,3,1
NE66 1XH,0,0,2
NE24 4QF,0,0,22
NE65 9LG,0,0,0
NE23 6BY,0,0,5
NE46 3PD,4,5,0
NE24 5SJ,0,0,16
NE24 5NF,3,4,14
TD15 2AE,1,1,29
NE65 0TB,2,2,6
NE23 2QH,0,0,19
NE46 4HB,2,2,2
DH8 9BJ,0,0,5
NE66 2DW,0,0,10
NE61 3YH,0,0,12
NE24 3SY,0,0,11
NE61 6PT,0,0,4
TD15 2DQ,0,0,56
NE20 0DJ,1,1,11
NE61 3SD,0,0,5
NE20 0JX,4,4,0
NE24 4QB,0,0,10
NE24 4QA,0,0,23
NE24 1EH,0,0,38
NE20 9UB,1,1,4
NE24 2QE,0,0,20
NE66 3EP,1,1,40
NE42 5LN,0,0,27
NE61 1LA,4,4,1
NE42 5AZ,0,0,8
NE42 6DG,2,2,1
NE42 5HH,0,0,2
NE46 4DB,1,1,4
NE61 3BG,0,1,10
NE65 9AH,0,0,7
NE24 2PU,0,0,10
NE48 3LQ,0,0,14
NE24 5LY,0,0,20
NE23 7SB,2,2,5
NE24 4EG,1,1,9
NE45 5SB,15,15,0
NE26 4RA,0,0,10
NE24 3DR,1,1,5
NE66 1AU,1,1,29
NE24 2QW,0,0,37
NE66 1SS,17,19,12
NE47 8JP,1,1,4
NE49 9NF,0,0,2
NE65 0TG,0,0,17
NE24 5EQ,0,0,10
NE63 8PN,1,1,4
NE68 7XP,8,8,4
NE61 2AU,0,0,9
NE66 2TH,2,2,5
NE47 9UE,0,0,2
NE24 3QD,0,0,53
NE65 7XF,0,0,2
NE65 8AD,2,2,5
NE24 5LS,0,0,21
NE66 3ER,2,2,2
NE47 7ES,0,0,7
NE65 9HN,1,1,5
NE24 2HN,0,0,2
NE71 6DB,2,2,15
NE25 0DL,3,3,27
TD15 1HE,9,9,2
NE24 2LS,0,0,47
NE24 5EA,0,0,9
NE43 7HR,1,1,1
NE23 6XP,0,0,3
NE23 7HH,0,0,24
NE46 4BB,1,1,3
NE24 5BU,0,0,14
NE24 5BX,0,0,32
NE42 5EZ,0,0,17
NE24 3TG,0,0,31
NE46 2EP,0,0,6
NE47 9PA,1,1,11
NE24 3UP,0,0,37
NE48 4AY,0,0,1
NE24 1EE,1,1,12
NE19 2LW,0,1,12
NE48 2JA,0,0,2
NE46 4TS,0,0,2
TD15 2FQ,0,0,15
NE47 8HJ,0,0,4
CA8 7DX,3,3,7
NE46 3JF,0,0,7
NE46 3EN,0,0,17
NE46 4DX,1,1,11
NE24 3QB,0,0,21
NE47 9UG,0,0,2
NE47 7EH,0,0,6
NE24 3XL,0,0,5
NE47 9HG,0,0,1
NE47 8LT,0,0,1
NE47 8AB,0,0,5
NE47 9UW,0,0,2
NE66 3BU,0,1,3
NE24 3TB,0,0,12
NE24 2PQ,0,0,6
NE24 4QN,0,0,28
CA8 7DR,1,1,6
CA9 3NJ,1,1,6
NE66 1QF,4,4,20
TD15 1DD,0,1,8
NE65 0UW,4,4,20
NE24 5ER,0,0,12
NE48 1ER,3,3,1
NE46 1AQ,0,0,16
NE61 2ZF,0,0,1
NE61 2FX,0,0,17
NE24 3JU,0,0,27
NE63 9GF,0,0,37
NE65 9QJ,7,8,7
NE61 3FD,0,0,15
NE24 4TX,0,0,25
NE24 3UN,0,0,28
NE64 6BE,0,1,1
NE46 2DY,0,0,7
NE65 9AP,4,4,22
NE46 4NQ,0,0,3
NE46 4AJ,0,0,4
NE47 0DJ,1,1,2
TD12 4UW,1,2,3
NE43 7TP,1,1,1
NE66 4PR,0,0,8
NE20 9PP,1,1,0
NE23 6HD,0,0,17
NE61 3TG,0,0,1
NE61 6FG,0,0,9
NE24 3LJ,0,0,17
NE24 3PZ,0,0,38
NE23 6TF,1,1,12
NE24 3UL,0,0,13
NE46 3EZ,0,0,54
NE24 5RH,0,0,33
NE61 3AW,2,2,14
NE66 3EY,7,7,26
NE45 5BE,11,11,40
NE23 8AE,1,1,0
NE24 1NG,1,1,0
DH8 9RY,0,0,2
NE20 0TE,0,1,3
NE48 2TA,0,0,8
NE65 0HS,1,1,6
NE20 0BF,0,0,8
NE24 2JN,1,1,37
NE24 3UU,0,0,18
NE24 4SH,0,0,34
NE67 5BE,6,6,11
NE62 5BY,2,2,2
NE46 1BS,5,11,1
NE65 0DS,0,0,3
NE24 1LW,1,1,1
NE24 4EW,5,5,5
NE20 9LJ,0,0,16
NE65 9HY,2,2,3
NE24 2HB,0,0,2
NE66 3EA,8,9,6
NE66 1TS,5,5,16
NE66 3PL,1,1,4
NE70 7NH,2,2,11
CA8 7EL,0,0,12
NE18 0LQ,2,2,4
NE65 0NH,2,2,23
NE61 3SL,1,1,3
NE18 0PG,0,0,10
NE65 9YH,0,0,31
NE67 5JS,0,0,5
NE61 2YL,0,0,8
NE46 2JQ,0,0,13
NE65 9TW,2,2,10
NE46 4BF,0,0,21
NE61 3FJ,0,0,5
NE63 9GU,0,0,23
NE23 1PJ,0,0,18
NE24 3QA,0,0,29
NE24 5PE,0,0,37
NE66 2LW,0,0,3
NE66 1HZ,11,11,3
NE63 9UZ,27,28,0
NE24 1BE,7,7,0
NE24 1BJ,4,4,0
NE24 5JP,2,2,1
NE61 1JL,0,0,4
NE66 3PT,3,3,6
NE63 9XE,5,6,0
NE24 2HR,1,1,28
NE62 5TT,1,1,1
NE24 4HT,1,1,1
TD15 1EB,3,3,12
TD15 2EF,2,2,0
NE62 5UA,1,2,1
NE24 3DH,2,2,28
NE24 1LB,1,1,0
NE61 3BP,1,1,1
NE66 2XX,2,2,25
NE22 7FA,0,0,8
NE23 8AS,1,2,0
NE65 0FE,0,0,9
NE65 9DT,0,0,7
NE23 6YA,7,8,0
NE46 1YD,0,0,3
NE46 1PF,12,12,5
NE24 2TS,0,0,6
NE23 6EA,0,0,23
NE71 6DY,1,1,12
NE20 0BS,0,0,3
NE65 0JZ,0,1,34
NE47 9BW,2,2,11
NE46 1LU,16,16,0
NE24 3DS,2,2,25
NE66 1PX,1,1,1
NE68 7SL,1,1,6
NE61 6HZ,24,24,0
NE65 0EN,1,1,23
NE71 6AE,0,2,6
NE49 9AG,1,1,0
NE61 5BP,0,0,3
NE65 8AJ,6,6,6
NE49 9AP,1,1,4
NE47 7EA,1,1,23
NE65 0GW,0,0,33
NE25 0FQ,0,0,19
NE43 7QR,0,0,49
NE19 1NT,1,1,2
NE42 6HB,2,2,0
NE46 1XT,1,1,0
NE61 2NU,1,1,4
NE24 1AH,20,21,0
NE65 9YF,12,13,12
NE65 7TU,1,1,6
NE46 3HA,0,1,0
NE61 4PZ,1,1,0
NE65 7PB,3,3,4
NE65 7XG,1,2,1
NE65 0UL,3,3,8
NE66 3EW,2,2,3
NE24 2SJ,1,1,31
NE61 3AN,1,1,3
NE65 9QB,1,1,13
NE65 9EE,1,1,2
NE23 7EF,2,2,1
NE61 1NJ,1,1,0
NE61 5EB,1,1,9
NE46 1ET,0,0,0
NE46 3DJ,1,1,8
NE46 3LT,1,1,0
NE46 1NW,0,0,6
NE22 5DP,1,1,0
NE49 9JN,1,1,0
NE48 2DT,2,2,9
NE61 5LG,0,0,6
NE23 6QU,1,1,2
NE61 1PS,9,9,0
NE68 7WF,6,6,0
NE61 1PA,5,5,0
NE65 7PJ,1,1,8
NE66 3DA,5,5,6
NE47 8JH,1,1,1
NE23 6XB,1,1,1
TD15 1AN,1,1,0
NE65 0FQ,0,0,0
NE22 7BS,2,2,0
NE61 6JQ,1,1,0
NE20 0SZ,2,2,1
NE19 2AA,1,1,4
DH8 9JL,1,1,2
TD12 4QN,1,1,12
NE41 8AG,1,1,2
NE20 9SF,1,1,0
NE24 3DQ,2,2,19
TD15 1AA,1,2,0
NE19 1JH,2,2,3
NE41 8EJ,0,0,20
NE65 0NB,3,3,8
NE65 7NU,0,0,13
NE65 7NY,0,0,5
NE65 8EW,0,0,2
NE47 9AT,0,0,1
NE43 7NP,0,0,4
NE66 2ES,12,12,0
NE46 4LS,0,0,1
NE66 2QQ,1,1,1
DH8 9LS,1,1,1
NE61 5NF,3,3,47
CA8 7LB,2,3,27
NE48 3DX,2,2,3
NE66 3TJ,2,2,26
NE68 7UE,1,1,0
NE66 5NF,1,1,3
NE24 4DB,1,1,1
NE43 7BU,0,0,22
NE18 0NH,0,0,10
NE65 7JT,2,2,1
TD15 2TG,1,1,9
NE61 5BJ,3,3,4
NE66 4SU,1,1,1
TD15 2QY,1,1,10
NE68 7YN,0,0,19
NE65 7JE,3,3,9
NE65 7QP,1,1,1
NE71 6TW,1,1,7
NE66 2RF,1,1,5
NE24 3UW,0,0,16
NE46 1AW,1,1,20
NE47 9LW,0,0,2
NE47 5NP,0,0,3
NE45 5BF,0,0,10
NE45 5LD,1,1,0
NE62 5TR,1,1,0
NE63 0HF,1,1,0
NE61 2SL,2,3,3
NE66 1RF,1,1,8
NE13 6DD,1,1,5
NE67 5ES,1,1,1
CA8 7HY,1,1,9
CA8 7JA,4,4,1
NE65 9BQ,1,1,0
NE65 0ET,2,2,23
NE66 2RH,3,3,6
NE22 5QL,1,1,3
TD15 1HW,1,1,4
NE67 5AQ,2,2,5
NE19 2BA,1,1,1
NE61 6JS,7,7,0
NE61 3FL,0,0,9
NE46 3LX,1,2,1
NE61 6EE,0,0,3
NE66 3AF,0,0,4
NE22 7DB,2,2,0
NE46 4TJ,0,0,3
NE23 1AL,0,0,31
NE23 8BS,0,0,37
NE43 7QZ,0,0,13
NE65 8BD,1,1,2
NE23 7RH,10,10,0
NE23 6BP,0,0,21
TD15 1HS,0,0,4
NE63 9ZB,0,0,0
NE71 6AJ,1,2,11
NE65 7AZ,0,0,17
NE23 8BZ,0,0,14
NE24 5BF,0,0,3
NE61 6FW,1,1,2
NE46 2EY,0,0,22
NE61 3GQ,0,0,13
NE65 9FH,0,0,8
NE65 9DZ,0,0,2
NE48 3EE,1,1,2
NE63 0FF,0,0,42
NE61 6FH,0,0,17
NE66 2UF,0,0,3
NE65 0XF,0,0,10
NE47 6NG,0,0,4
NE46 1SA,0,0,3
NE23 6TL,0,0,61
NE24 1PD,0,0,27
NE47 5AG,2,2,10
NE41 8AN,0,0,2
NE24 4UH,0,0,4
NE48 2EF,1,1,3
NE61 1EB,0,0,3
NE61 6AF,3,3,9
NE46 2LD,0,0,1
NE48 4AN,0,0,1
NE48 4BX,1,1,4
NE19 1TH,0,0,1
NE46 4BL,0,0,1
NE46 1UB,0,0,3
NE19 2PJ,0,0,1
NE48 3ED,0,0,6
NE66 2FE,0,0,8
NE61 6BJ,0,0,0
NE47 7AH,0,0,1
NE19 2LP,0,0,3
NE48 2TX,0,0,1
NE65 9XE,1,1,1
NE19 1JJ,1,1,3
NE46 4NG,0,0,1
NE71 6BN,0,0,1
NE24 5TT,1,1,1
NE20 0ES,0,0,7
NE23 6DF,0,0,18
NE19 1LA,1,1,4
NE25 0TX,0,0,26
NE19 1BH,1,1,6
NE65 7YL,0,0,1
NE65 0YB,0,0,2
NE23 6BH,0,0,35
NE47 7EZ,3,3,2
CA8 7PL,0,0,1
NE47 7DW,1,1,0
CA8 7DW,0,0,10
NE23 7FN,0,0,6
NE65 8JD,3,3,1
NE66 2UA,0,0,8
NE19 1BW,0,0,2
NE61 3FB,0,0,6
NE66 1UH,0,0,8
NE25 0EY,0,0,20
NE61 3TN,0,0,2
NE65 8RH,3,3,4
NE65 9UU,2,2,3
NE61 6DD,0,0,6
NE66 2BR,1,1,0
NE70 7JF,2,2,3
NE61 5AT,1,1,19
NE47 6EF,0,0,33
NE65 8LD,0,0,6
NE24 2HY,0,0,7
NE65 9JR,0,0,12
NE67 5LL,0,0,3
NE24 5RA,0,0,22
NE66 3AH,1,1,19
NE24 5EG,0,0,38
NE20 0DQ,0,0,1
NE61 5FE,0,0,4
NE22 6BZ,1,1,9
NE46 3RZ,1,1,3
NE48 4HR,1,1,0
NE65 9LQ,1,1,8
TD15 1EZ,0,0,1
NE24 2LX,0,0,9
NE25 0GP,0,0,0
NE24 2UG,0,0,5
NE61 4JS,1,1,5
NE61 1HX,0,0,27
NE23 3AW,0,0,21
NE19 2HQ,1,1,1
NE23 6AB,0,0,3
NE45 5EJ,0,0,8
NE47 5ED,0,0,16
NE48 2AQ,0,0,2
NE61 1DE,1,1,1
NE19 2BJ,2,2,2
NE65 8TD,1,2,4
NE24 2RY,0,0,29
NE65 0ES,2,2,40
NE65 0QQ,0,0,24
NE63 9WU,0,0,12
TD15 1BZ,0,0,5
TD15 1BY,0,0,1
NE24 2TD,0,0,46
NE24 3RR,0,0,20
TD15 1PX,0,0,56
NE66 3FN,0,0,0
NE24 1NN,0,0,3
NE23 6TS,0,0,57
NE24 4PS,0,0,13
NE24 2HW,0,0,4
TD15 1PS,0,0,32
NE23 3FX,0,0,31
TD15 1ER,0,0,3
NE65 9DR,0,0,2
NE61 3EP,0,0,5
NE23 7HJ,0,0,21
NE61 2UG,0,0,16
NE61 1XD,0,0,32
NE61 2TD,0,0,14
NE48 1LN,2,2,1
NE23 6FA,0,0,15
NE66 4BA,0,0,2
NE23 6EY,0,0,19
NE23 2DD,0,0,20
TD15 2SS,0,0,2
NE68 7XS,3,3,14
NE65 9EJ,0,0,15
NE61 2TA,0,0,17
NE66 2HL,0,0,5
NE61 2QX,0,0,13
NE61 3QA,0,0,6
NE46 4TH,0,0,4
NE66 3SS,3,3,2
NE23 6QT,0,0,22
NE61 4BL,0,0,4
NE23 2XA,0,0,13
NE25 0LD,0,0,6
NE23 1PP,0,0,12
NE24 4AB,0,0,3
NE24 5RE,0,0,6
NE24 5SG,0,0,38
NE25 0QL,0,0,20
NE25 0EX,0,0,32
NE23 8JP,0,0,30
NE23 8JR,0,0,17
TD15 2TX,0,0,19
NE25 0JR,0,0,25
NE23 6DP,0,0,10
NE23 3GG,0,0,39
NE23 1RL,0,0,13
NE24 3NW,0,0,4
TD15 2DE,0,0,33
TD15 2BZ,0,0,26
NE23 3QX,0,0,15
NE65 7RU,1,1,0
NE23 6AR,0,0,22
NE23 6HA,0,0,4
NE24 5QA,0,0,7
TD15 2BN,0,0,16
TD15 1QR,0,0,4
TD15 2DD,0,0,46
TD12 4RG,0,0,2
NE19 2DD,0,0,1
NE23 6JZ,0,0,15
TD15 2HW,0,0,32
NE19 2AJ,0,0,1
NE19 2AL,0,0,2
NE65 9NA,0,0,20
NE18 0PY,0,0,2
NE23 1RX,0,0,23
NE25 0TU,0,0,12
NE23 7TA,0,0,20
CA8 7NE,0,0,3
TD12 4RF,0,0,10
NE26 4EB,0,0,38
NE18 0AB,0,0,7
NE18 0DF,0,0,1
NE23 2AJ,0,0,14
CA8 7EA,0,0,7
NE25 0HJ,0,0,19
CA8 7BN,1,1,8
NE23 8HA,0,0,10
NE23 6DJ,0,0,8
NE19 2HG,0,0,5
NE19 2HX,1,1,3
CA8 7HS,0,1,10
NE20 0HG,0,0,3
NE23 3LR,0,0,7
NE20 0DT,0,0,1
NE20 0BJ,0,0,2
NE19 2LE,0,0,9
NE23 6LR,0,0,18
NE23 8JE,0,0,24
NE19 2DJ,0,0,2
NE23 6DL,0,0,15
NE23 3HP,0,0,7
NE23 3QT,0,0,25
TD12 4SJ,0,0,9
TD12 4UB,0,0,14
NE19 2RB,0,0,1
NE24 5HA,0,0,12
NE20 9NE,0,0,59
NE23 7TU,0,0,36
NE19 2SB,0,0,2
NE19 2SW,0,0,2
NE20 0TD,0,0,3
NE20 0RE,0,0,2
NE23 6AH,0,0,24
NE25 0JB,0,0,53
NE20 9RD,0,0,10
NE20 9HW,0,0,10
NE23 6SS,0,0,16
NE23 6RE,0,0,10
NE23 8JD,0,0,20
NE20 9AQ,0,0,12
NE25 0JU,0,0,15
NE20 0ED,0,0,1
NE23 3AY,0,0,23
NE19 1JG,0,0,3
NE19 1NB,0,0,1
NE23 6JQ,0,0,16
NE15 0EA,0,0,27
NE15 0BN,0,0,10
NE15 0PB,0,0,8
NE24 2SU,0,0,22
NE66 2JG,1,1,2
NE66 1LF,0,0,20
NE66 1XF,0,0,5
NE23 2QA,0,0,12
NE66 1RX,0,0,32
NE23 6NR,0,0,19
NE25 0HR,0,0,16
NE23 8ER,0,0,10
NE20 9UJ,0,0,5
NE20 9QL,0,0,28
NE23 1TL,0,0,16
NE23 1TS,0,0,28
DH8 9BA,1,1,5
NE26 4JG,0,0,10
NE25 0NQ,0,0,20
NE23 6JF,0,0,25
NE66 3JA,0,0,1
NE25 0EL,0,0,52
NE20 9UL,0,0,10
NE20 9AZ,0,0,8
NE23 6AE,0,0,15
NE66 1QD,0,0,6
NE66 1QJ,0,0,30
NE26 4HX,0,0,6
NE23 6PE,1,1,10
NE25 0NH,0,0,20
NE23 2XH,0,0,8
NE23 6PD,0,0,15
NE23 1RS,0,0,21
NE25 0NT,0,0,8
NE25 0JZ,0,0,21
NE23 6UG,0,0,3
NE23 7TN,0,0,4
NE66 1BQ,0,0,42
NE66 1UP,0,0,3
NE23 7RU,0,0,10
NE23 2YQ,0,0,31
NE23 1PS,0,0,11
NE20 9RA,0,0,9
